Compressor_field__params, relative_error, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
SZ_velocity_z__pw_rel0.01, 0.00999993, 81.4907, 124.082, 5.16227,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.05, 0.0499378, 87.4745, 123.853, 8.19025,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.05, 0.0499755, 81.6168, 119.027, 4.30461,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.05, 0.0499297, 88.1636, 124.94, 10.7331,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.05, 0.0499399, 83.9582, 125.815, 9.61889,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.05, 0.0499402, 83.1254, 125.956, 9.52585,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.05, 0.0499397, 82.9772, 126.632, 7.93735,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.1, 0.0997309, 87.5548, 122.209, 10.4645,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.1, 0.0999914, 79.2132, 117.794, 4.94974,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.1, 0.0997309, 91.3808, 126.144, 14.2893,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.1, 0.0997309, 85.5614, 128.915, 12.0376,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.1, 0.0997309, 85.4537, 128.295, 11.8054,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.1, 0.0997309, 82.6435, 126.949, 9.85447,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.15, 0.149822, 85.4885, 124.083, 12.2249,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.15, 0.14998, 77.6962, 119.44, 5.39734,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.15, 0.149821, 88.4864, 124.262, 16.7898,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.15, 0.149823, 83.8877, 129.475, 13.6777,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.15, 0.149823, 83.0314, 129.815, 13.5697,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.15, 0.149823, 81.6971, 126.048, 11.2085,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.2, 0.199609, 90.2905, 123.838, 13.6761,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.2, 0.199927, 78.75, 122.404, 5.76465,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.2, 0.199673, 85.158, 125.318, 18.6592,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.2, 0.199676, 82.42, 126.674, 15.2075,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.2, 0.199674, 83.0881, 125.234, 14.9407,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.2, 0.199678, 80.6951, 126.679, 12.3314,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.25, 0.249691, 90.1989, 123.013, 14.5419,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.25, 0.249916, 82.5368, 119.405, 6.10086,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.25, 0.249698, 84.6374, 126.396, 20.3519,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.25, 0.2497, 84.0218, 126.93, 16.9429,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.25, 0.2497, 82.1088, 124.925, 16.4678,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.25, 0.2497, 82.0381, 126.507, 13.4166,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
