Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
zfp_z__tolerance:0.005, 0.00241852, 4.36947e-07, 111.761, 79.2002, 80.0394, 56.8288, 75.2556, 2.04068
zfp_x__tolerance:0.0005, 0.000303268, 6.84556e-09, 129.811, 73.6582, 74.0568, 52.1343, 64.7618, 1.73557
zfp_y__tolerance:0.0005, 0.000301361, 6.84714e-09, 129.81, 77.3406, 72.9333, 52.6314, 64.4345, 1.72336
zfp_z__tolerance:0.0005, 0.000301361, 6.84475e-09, 129.811, 71.9777, 68.4285, 51.9889, 64.8827, 1.71296
zfp_x__tolerance:5e-05, 1.90735e-05, 3.04346e-11, 153.331, 69.8148, 61.316, 45.8488, 54.7687, 1.42617
zfp_y__tolerance:5e-05, 1.90735e-05, 3.05917e-11, 153.309, 68.1274, 59.5792, 47.729, 54.3581, 1.41792
zfp_z__tolerance:5e-05, 1.90735e-05, 2.98138e-11, 153.421, 64.1584, 57.2915, 46.3326, 54.4963, 1.41086
zfp_x__tolerance:5e-06, 1.90735e-06, 4.81031e-14, 181.343, 64.3045, 54.2773, 43.5843, 49.0341, 1.25797
zfp_y__tolerance:5e-06, 1.90735e-06, 4.65103e-14, 181.489, 62.9257, 52.9562, 45.3248, 49.2786, 1.25155
zfp_z__tolerance:5e-06, 1.90735e-06, 4.1069e-14, 182.03, 59.5304, 51.3442, 46.461, 48.4974, 1.24605
