Compressor_field__params, relative_error, absolute_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
Isabela_dark_matter_density__tolerance0.15_window-size1024_nCoeff50, 0.00150155, 10.3647, 4.20031e-05, 121.617, 0.852014, 13.9274, 1.5019,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.15_window-size1024_nCoeff50, 0.00150155, 4088, 79.5046, 110.147, 1.45497, 14.6594, 2.02195,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.15_window-size1024_nCoeff50, 0.00150155, 44682, 1.02235e+07, 80.3582, 1.09306, 14.2617, 1.84088,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.15_window-size1024_nCoeff50, 0.00150155, 49224, 1.19453e+07, 79.7229, 1.08187, 14.2504, 1.84753,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.15_window-size1024_nCoeff50, 0.00150156, 48782, 1.16793e+07, 79.9214, 0.951373, 14.0984, 1.61553,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.2_window-size1024_nCoeff50, 0.00200004, 137.07, 0.000486067, 130.16, 1.12296, 14.3587, 1.81539,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.2_window-size1024_nCoeff50, 0.00200004, 14.1934, 7.34055e-05, 119.193, 0.913519, 14.0289, 1.56815,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.2_window-size1024_nCoeff50, 0.00200005, 4929.25, 136.33, 107.805, 1.69111, 14.7744, 2.1342,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.2_window-size1024_nCoeff50, 0.00200004, 62440, 1.5849e+07, 78.4542, 1.21366, 14.3899, 1.92768,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.2_window-size1024_nCoeff50, 0.00200004, 66684, 1.82876e+07, 77.8733, 1.20279, 14.3793, 1.93585,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.2_window-size1024_nCoeff50, 0.00200005, 61680, 1.93725e+07, 77.7237, 1.0504, 14.1839, 1.69475,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.25_window-size1024_nCoeff50, 0.00250005, 92.8672, 0.00071292, 128.496, 1.21557, 14.4569, 1.89452,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.25_window-size1024_nCoeff50, 0.00250005, 14.7031, 0.000117572, 117.147, 0.964179, 14.1683, 1.62481,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.25_window-size1024_nCoeff50, 0.00250004, 6704.5, 207.524, 105.98, 1.90128, 14.866, 2.21884,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.25_window-size1024_nCoeff50, 0.00250005, 80128, 2.18339e+07, 77.0629, 1.32686, 14.4337, 1.99567,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.25_window-size1024_nCoeff50, 0.00250005, 84016, 2.48392e+07, 76.5435, 1.30567, 14.4993, 2.00493,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.25_window-size1024_nCoeff50, 0.00250004, 79424, 2.81933e+07, 76.0941, 1.13722, 14.3409, 1.76053,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.3_window-size1024_nCoeff50, 0.00300305, 207.945, 0.00134375, 125.743, 1.31606, 14.5747, 1.96301,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.3_window-size1024_nCoeff50, 0.00300305, 21.8174, 0.000175, 115.419, 1.0252, 14.2476, 1.67477,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.3_window-size1024_nCoeff50, 0.00300305, 8007, 287.68, 104.561, 2.09729, 14.9594, 2.28347,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.3_window-size1024_nCoeff50, 0.00300305, 94404, 2.80129e+07, 75.9807, 1.42641, 14.544, 2.051,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.3_window-size1024_nCoeff50, 0.00300304, 100778, 3.14274e+07, 75.5218, 1.41473, 14.5851, 2.06106,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.3_window-size1024_nCoeff50, 0.00300306, 94272, 3.78187e+07, 74.8185, 1.21139, 14.3848, 1.81689,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.35_window-size1024_nCoeff50, 0.00350881, 172.008, 0.00127902, 125.958, 1.43086, 14.6527, 2.0228,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.35_window-size1024_nCoeff50, 0.00350881, 23.1396, 0.000236725, 114.107, 1.07372, 14.3286, 1.71991,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.35_window-size1024_nCoeff50, 0.0035088, 8572.5, 381.556, 103.335, 2.29367, 14.9741, 2.33384,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.35_window-size1024_nCoeff50, 0.00350881, 109104, 3.42592e+07, 75.1065, 1.51696, 14.5796, 2.09715,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.35_window-size1024_nCoeff50, 0.00350882, 109632, 3.7984e+07, 74.6988, 1.509, 14.6249, 2.10764,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.35_window-size1024_nCoeff50, 0.00350882, 114624, 4.79792e+07, 73.785, 1.29275, 14.4221, 1.86587,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.45_window-size1024_nCoeff50, 0.00450453, 229.496, 0.00270604, 122.703, 1.59414, 14.7573, 2.11954,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.45_window-size1024_nCoeff50, 0.00450455, 21.8174, 0.000354848, 112.349, 1.1814, 14.4271, 1.79768,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.45_window-size1024_nCoeff50, 0.00450453, 11231.5, 598.965, 101.376, 2.59999, 15.0752, 2.40477,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.45_window-size1024_nCoeff50, 0.00450453, 136174, 4.65068e+07, 73.7791, 1.66663, 14.6851, 2.16878,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.45_window-size1024_nCoeff50, 0.00450455, 149434, 5.04202e+07, 73.4688, 1.68009, 14.7556, 2.17949,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.45_window-size1024_nCoeff50, 0.00450455, 151212, 6.8569e+07, 72.2343, 1.4256, 14.5814, 1.9454,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.5_window-size1024_nCoeff50, 0.00500004, 190.613, 0.00298186, 122.282, 1.69805, 14.8146, 2.15925,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.5_window-size1024_nCoeff50, 0.00500004, 32.564, 0.000457483, 111.246, 1.23088, 14.4672, 1.83199,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.5_window-size1024_nCoeff50, 0.00500005, 13134.5, 723.7, 100.555, 2.72647, 15.0944, 2.43083,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.5_window-size1024_nCoeff50, 0.00500002, 160562, 5.24955e+07, 73.253, 1.75221, 14.6784, 2.19754,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.5_window-size1024_nCoeff50, 0.00500004, 148576, 5.63746e+07, 72.984, 1.75836, 14.7978, 2.20818,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.5_window-size1024_nCoeff50, 0.00500004, 169720, 7.88321e+07, 71.6285, 1.48778, 14.581, 1.9786,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.05_window-size2048_nCoeff50, 0.000500054, 34.4844, 3.11422e-05, 142.093, 0.758786, 14.3318, 1.5702,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.05_window-size2048_nCoeff50, 0.000500051, 2.88867, 4.62761e-06, 131.196, 0.654445, 14.1715, 1.40527,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.05_window-size2048_nCoeff50, 0.000500052, 1396.75, 9.22416, 119.501, 1.05425, 14.6721, 1.82284,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.05_window-size2048_nCoeff50, 0.000500054, 15146, 1.45787e+06, 88.8171, 0.718626, 14.3959, 1.69021,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.05_window-size2048_nCoeff50, 0.000500056, 15628, 1.73553e+06, 88.1005, 0.722716, 14.3893, 1.68845,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.05_window-size2048_nCoeff50, 0.000500056, 16130, 1.44415e+06, 88.9994, 0.645627, 14.2788, 1.50276,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.1_window-size2048_nCoeff50, 0.00100004, 27.8906, 9.83147e-05, 137.1, 0.95073, 14.5624, 1.75723,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.1_window-size2048_nCoeff50, 0.00100005, 6.72656, 1.82219e-05, 125.244, 0.780509, 14.3173, 1.53972,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.1_window-size2048_nCoeff50, 0.00100006, 2640.75, 35.6704, 113.627, 1.4526, 15.0176, 2.0629,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.1_window-size2048_nCoeff50, 0.00100005, 30158, 4.85332e+06, 83.5939, 0.937262, 14.6576, 1.8822,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.1_window-size2048_nCoeff50, 0.00100005, 32312, 5.76474e+06, 82.8871, 0.935069, 14.6098, 1.88266,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.1_window-size2048_nCoeff50, 0.00100005, 32336, 5.36887e+06, 83.2967, 0.835575, 14.4882, 1.66778,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.15_window-size2048_nCoeff50, 0.00150154, 69.8516, 0.000247907, 133.084, 1.09378, 14.7844, 1.88569,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.15_window-size2048_nCoeff50, 0.00150155, 9.34912, 4.32587e-05, 121.489, 0.865856, 14.4502, 1.63303,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.15_window-size2048_nCoeff50, 0.00150155, 3947, 77.0629, 110.282, 1.82317, 15.2203, 2.20863,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.15_window-size2048_nCoeff50, 0.00150155, 47388, 9.17507e+06, 80.8282, 1.10838, 14.7686, 2.0004,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.15_window-size2048_nCoeff50, 0.00150156, 48872, 1.073e+07, 80.1889, 1.11266, 14.817, 2.00311,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.15_window-size2048_nCoeff50, 0.00150155, 48770, 1.11524e+07, 80.1219, 0.976674, 14.6256, 1.78034,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.2_window-size2048_nCoeff50, 0.00200005, 100.062, 0.000517835, 129.885, 1.235, 14.9483, 1.98352,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.2_window-size2048_nCoeff50, 0.00200005, 14.6309, 7.59574e-05, 119.044, 0.940001, 14.6307, 1.70625,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.2_window-size2048_nCoeff50, 0.00200005, 5185.75, 130.714, 107.987, 2.1684, 15.3177, 2.30207,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.2_window-size2048_nCoeff50, 0.00200005, 63462, 1.38893e+07, 79.0274, 1.2541, 14.854, 2.08267,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.2_window-size2048_nCoeff50, 0.00200004, 65550, 1.593e+07, 78.4727, 1.25969, 14.954, 2.08697,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.2_window-size2048_nCoeff50, 0.00200005, 62844, 1.81243e+07, 78.013, 1.10333, 14.6934, 1.86497,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.25_window-size2048_nCoeff50, 0.00250004, 105.461, 0.000597205, 129.265, 1.39386, 14.9946, 2.06192,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.25_window-size2048_nCoeff50, 0.00250005, 15.6416, 0.000117382, 117.154, 1.01427, 14.7089, 1.76801,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.25_window-size2048_nCoeff50, 0.00250004, 5757, 196.439, 106.218, 2.4217, 15.3857, 2.36554,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.25_window-size2048_nCoeff50, 0.00250005, 77402, 1.87979e+07, 77.7132, 1.38342, 14.9913, 2.14472,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.25_window-size2048_nCoeff50, 0.00250005, 73936, 2.11714e+07, 77.2373, 1.40325, 15.0449, 2.14993,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.25_window-size2048_nCoeff50, 0.00250005, 78724, 2.5886e+07, 76.4649, 1.20702, 14.8867, 1.93259,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.3_window-size2048_nCoeff50, 0.00300304, 111.715, 0.000894746, 127.51, 1.49482, 15.0479, 2.12582,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.3_window-size2048_nCoeff50, 0.00300304, 18.9805, 0.000165988, 115.649, 1.08934, 14.766, 1.82174,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.3_window-size2048_nCoeff50, 0.00300304, 7800.75, 272.07, 104.804, 2.6781, 15.4116, 2.41085,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.3_window-size2048_nCoeff50, 0.00300305, 95200, 2.38014e+07, 76.6882, 1.50061, 15.02, 2.19341,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.3_window-size2048_nCoeff50, 0.00300305, 92852, 2.63574e+07, 76.2858, 1.5211, 15.126, 2.19926,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.3_window-size2048_nCoeff50, 0.00300304, 97392, 3.41258e+07, 75.2647, 1.30155, 14.9382, 1.98822,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.35_window-size2048_nCoeff50, 0.00350881, 120.043, 0.00138628, 125.608, 1.61728, 15.1823, 2.17838,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.35_window-size2048_nCoeff50, 0.0035088, 18.6396, 0.000224251, 114.343, 1.1674, 14.8193, 1.86899,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.35_window-size2048_nCoeff50, 0.00350881, 9112.5, 357.789, 103.614, 2.87717, 15.4625, 2.44451,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.35_window-size2048_nCoeff50, 0.00350881, 106276, 2.88404e+07, 75.8542, 1.60077, 15.0913, 2.2328,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.35_window-size2048_nCoeff50, 0.0035088, 117104, 3.14576e+07, 75.5176, 1.64846, 15.1755, 2.23908,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.35_window-size2048_nCoeff50, 0.00350882, 112244, 4.25941e+07, 74.3021, 1.37323, 15.0189, 2.03471,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.45_window-size2048_nCoeff50, 0.00450454, 236.32, 0.00272757, 122.669, 1.85877, 15.2688, 2.25664,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.45_window-size2048_nCoeff50, 0.00450454, 30.6265, 0.000363519, 112.245, 1.30109, 14.9443, 1.94515,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.45_window-size2048_nCoeff50, 0.00450453, 11365, 566.63, 101.618, 3.19087, 15.4238, 2.4901,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.45_window-size2048_nCoeff50, 0.00450453, 146204, 3.86426e+07, 74.5836, 1.80144, 15.191, 2.29182,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.45_window-size2048_nCoeff50, 0.00450455, 146436, 4.11149e+07, 74.3549, 1.85297, 15.2696, 2.29834,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.45_window-size2048_nCoeff50, 0.00450453, 141988, 5.93099e+07, 72.8643, 1.52002, 15.0696, 2.10689,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.5_window-size2048_nCoeff50, 0.00500005, 331.641, 0.00329404, 121.849, 1.95442, 15.2623, 2.28636,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.5_window-size2048_nCoeff50, 0.00500004, 30.6255, 0.000476836, 111.066, 1.36596, 14.9983, 1.97644,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.5_window-size2048_nCoeff50, 0.00500004, 11794, 683.083, 100.806, 3.27227, 15.5601, 2.50644,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.5_window-size2048_nCoeff50, 0.00500004, 156750, 4.34296e+07, 74.0764, 1.87225, 15.222, 2.31497,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.5_window-size2048_nCoeff50, 0.00500005, 150302, 4.57374e+07, 73.8921, 1.94485, 15.3212, 2.32143,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
