Compressor_field__params, name, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
SZ_temperature__abs5000, sz_abs_run2_, 5000, 5.12217, 666109, 70.9151, 2.86765e+06, 61.3689, 141.305, 173.243,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs1000000, sz_abs_run2_, 1e+06, 191666, 1.51313e+10, 48.6555, 3.33206e+07, 77.0443, 143.201, 268.226,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs1000000, sz_abs_run2_, 1e+06, 758335, 1.5356e+10, 48.6321, 3.34767e+07, 75.4234, 144.868, 263.414,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs1000000, sz_abs_run2_, 999999, 375001, 1.48259e+10, 48.8853, 3.38671e+07, 75.7849, 146.29, 245.351,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs2, zfp_abs_run1_, 0.539028, 0.514146, 0.00193397, 124.162, 71011.8, 175.063, 393.266, 37.2283,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs2, zfp_abs_run1_, 0.585207, 0.585207, 0.00721444, 99.2678, 7807.16, 135.32, 213.721, 8.94016,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs5000, zfp_abs_run1_, 1135.86, 0.544975, 14097.2, 87.6592, 2.86765e+06, 161.818, 384.936, 22.8401,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs1000000, zfp_abs_run1_, 145396, 51967.7, 2.82146e+08, 65.9495, 3.33206e+07, 141.731, 354.011, 18.7506,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs1000000, zfp_abs_run1_, 144215, 48128.5, 2.81649e+08, 65.9978, 3.34767e+07, 149.499, 353.473, 18.9791,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs1000000, zfp_abs_run1_, 145415, 52312.7, 2.81611e+08, 66.0991, 3.38671e+07, 163.282, 358.294, 19.3125,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs5, zfp_abs_run2_, 1.04126, 0.999188, 0.00534397, 119.748, 71011.8, 205.648, 532.158, 51.3129,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs5, zfp_abs_run2_, 1.15322, 1.15322, 0.0237866, 94.0865, 7807.16, 172.791, 328.262, 12.3855,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs10000, zfp_abs_run2_, 2273.66, 0.847395, 38283, 83.3205, 2.86765e+06, 170.504, 444.731, 33.1548,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs5000000, zfp_abs_run2_, 1.10247e+06, 98305, 4.84287e+09, 53.6032, 3.33206e+07, 207.82, 568.723, 54.7071,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs5000000, zfp_abs_run2_, 1.09954e+06, 196607, 4.83447e+09, 53.6514, 3.34767e+07, 198.917, 565.279, 55.2985,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs5000000, zfp_abs_run2_, 1.0613e+06, 118129, 4.82256e+09, 53.7628, 3.38671e+07, 210.135, 571.448, 57.2416,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
