Compressor_field__params, relative_error, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
SZ_baryon_density__pw_rel0.12, 0.119649, 105.317, 85.5089, 120.349, 19.4731
SZ_dark_matter_density__pw_rel0.12, 0.119967, 89.5046, 80.2126, 105.318, 6.31217
SZ_temperature__pw_rel0.12, 0.119826, 76.5958, 86.1582, 122.516, 24.9254
SZ_velocity_x__pw_rel0.12, 0.119828, 41.1661, 84.8845, 122.174, 22.5535
SZ_velocity_y__pw_rel0.12, 0.119828, 43.0111, 84.5737, 122.049, 20.2322
SZ_velocity_z__pw_rel0.12, 0.119829, 43.2337, 84.3752, 122.843, 19.5063
SZ_baryon_density__pw_rel0.14, 0.139451, 103.925, 85.505, 123.765, 20.2383
SZ_dark_matter_density__pw_rel0.14, 0.139886, 88.1479, 77.83, 107.326, 6.58115
SZ_temperature__pw_rel0.14, 0.139497, 75.3008, 86.4036, 122.13, 27.0845
SZ_velocity_x__pw_rel0.14, 0.139533, 39.9043, 85.0807, 122.177, 23.8144
SZ_velocity_y__pw_rel0.14, 0.139533, 41.7274, 82.4444, 121.077, 21.2262
SZ_velocity_z__pw_rel0.14, 0.139533, 41.9693, 84.0266, 122.531, 20.4266
SZ_baryon_density__pw_rel0.16, 0.15898, 102.176, 85.7755, 121.879, 21.3647
SZ_dark_matter_density__pw_rel0.16, 0.159972, 87.0047, 80.3422, 108.295, 6.80132
SZ_temperature__pw_rel0.16, 0.158982, 74.1442, 86.5635, 125.357, 29.3894
SZ_velocity_x__pw_rel0.16, 0.15973, 38.7219, 84.0037, 124.041, 25.3956
SZ_velocity_y__pw_rel0.16, 0.159732, 40.557, 84.128, 122.396, 22.4984
SZ_velocity_z__pw_rel0.16, 0.15973, 40.7942, 82.9269, 123.461, 21.5267
SZ_baryon_density__pw_rel0.18, 0.179906, 101.382, 85.6648, 128.679, 22.4519
SZ_dark_matter_density__pw_rel0.18, 0.179978, 86.02, 81.3303, 110.718, 7.03101
SZ_temperature__pw_rel0.18, 0.179977, 73.1018, 87.6014, 125.582, 32.5409
SZ_velocity_x__pw_rel0.18, 0.179977, 37.7044, 84.5792, 123.715, 27.0128
SZ_velocity_y__pw_rel0.18, 0.179978, 39.5128, 84.3109, 121.215, 23.7255
SZ_velocity_z__pw_rel0.18, 0.179977, 39.757, 84.4311, 123.124, 22.6654
SZ_baryon_density__pw_rel0.2, 0.197486, 101.122, 85.9839, 124.899, 22.5452
SZ_dark_matter_density__pw_rel0.2, 0.199928, 85.2852, 80.7919, 114.162, 7.23805
SZ_temperature__pw_rel0.2, 0.199426, 72.337, 86.2474, 125.186, 31.346
SZ_velocity_x__pw_rel0.2, 0.199678, 36.9447, 83.695, 124.462, 26.2323
SZ_velocity_y__pw_rel0.2, 0.199677, 38.7551, 85.2734, 123.548, 23.4214
SZ_velocity_z__pw_rel0.2, 0.199678, 39.005, 84.8117, 121.838, 22.3709
SZ_baryon_density__pw_rel0.22, 0.219798, 100.053, 87.2182, 125.165, 23.8356
SZ_dark_matter_density__pw_rel0.22, 0.219855, 84.1812, 81.373, 113.257, 7.44601
SZ_temperature__pw_rel0.22, 0.219798, 71.307, 88.1712, 126.202, 35.2716
SZ_velocity_x__pw_rel0.22, 0.219798, 35.9058, 85.2714, 121.413, 29.2988
SZ_velocity_y__pw_rel0.22, 0.219798, 37.7421, 84.6351, 122.956, 25.529
SZ_velocity_z__pw_rel0.22, 0.219798, 37.9349, 83.6629, 120.392, 24.3316
SZ_baryon_density__pw_rel0.24, 0.239717, 99.1668, 87.5597, 125.383, 24.7781
SZ_dark_matter_density__pw_rel0.24, 0.239864, 83.4812, 81.482, 111.634, 7.61414
SZ_temperature__pw_rel0.24, 0.239717, 70.6029, 89.0146, 126.077, 37.4115
SZ_velocity_x__pw_rel0.24, 0.239717, 35.1776, 86.4929, 124.535, 31.3134
SZ_velocity_y__pw_rel0.24, 0.239717, 36.9842, 85.026, 123.826, 27.187
SZ_velocity_z__pw_rel0.24, 0.239717, 37.2397, 85.1221, 123.912, 25.907
SZ_baryon_density__pw_rel0.25, 0.249679, 99.9497, 87.9058, 127.238, 23.7719
SZ_dark_matter_density__pw_rel0.25, 0.24991, 83.279, 80.6423, 109.674, 7.69324
SZ_temperature__pw_rel0.25, 0.24969, 70.3762, 88.9425, 125.341, 34.2001
SZ_velocity_x__pw_rel0.25, 0.2497, 34.9581, 84.2647, 123.553, 28.3494
SZ_velocity_y__pw_rel0.25, 0.2497, 36.7823, 84.8393, 121.07, 25.1084
SZ_velocity_z__pw_rel0.25, 0.2497, 37.0203, 84.4817, 120.555, 24.0555
