Compressor_field__params, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
zfp_temperature__rel28, 0.75, 0.000278081, 1.56695e-06, 187.2, 2.86765e+06, 86.6441, 107.884, 1.65705,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel28, 8, 0.194603, 0.100482, 160.433, 3.33206e+07, 86.8357, 109.719, 1.74584,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel28, 10, 0.104221, 0.117135, 159.808, 3.34767e+07, 75.1618, 108.333, 1.75232,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel28, 10, 0.114317, 0.0907731, 161.016, 3.38671e+07, 68.4789, 75.6133, 1.74267,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel26, 0.0803223, 0.00475693, 9.65607e-10, 187.179, 71011.8, 80.2704, 117.07, 1.80283,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel26, 0.0065918, 0.000899732, 7.22067e-11, 179.264, 7807.16, 86.579, 109.643, 1.49999,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel26, 2.875, 0.00122882, 2.39039e-05, 175.366, 2.86765e+06, 60.5472, 79.3862, 1.84849,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel26, 30, 0.408246, 1.41757, 148.939, 3.33206e+07, 82.6046, 117.083, 1.95966,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel26, 35, 0.963596, 1.64965, 148.321, 3.34767e+07, 84.7849, 116.448, 1.96783,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel26, 42, 0.277081, 1.28055, 149.522, 3.38671e+07, 86.488, 115.896, 1.95568,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel24, 0.291748, 0.0297112, 1.58896e-08, 175.015, 71011.8, 84.4125, 125.627, 2.03176,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel24, 0.0252075, 0.0045832, 1.15304e-09, 167.231, 7807.16, 78.2243, 76.7484, 1.65516,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel24, 13.25, 0.0025729, 0.000384803, 163.298, 2.86765e+06, 96.1352, 124.791, 2.08994,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel24, 122, 1.69859, 22.5244, 136.928, 3.33206e+07, 86.9908, 127.368, 2.23318,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel24, 166, 2.68535, 26.2169, 136.309, 3.34767e+07, 96.2939, 126.948, 2.2438,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel24, 138, 1.17291, 20.3411, 137.512, 3.38671e+07, 96.1155, 124.812, 2.22801,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel22, 1.15112, 0.153177, 2.60598e-07, 162.867, 71011.8, 81.5162, 107.738, 2.32729,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel22, 0.0858154, 0.0150567, 1.82906e-08, 155.228, 7807.16, 80.7846, 97.5005, 1.84614,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel22, 49.375, 0.0190023, 0.00613546, 151.272, 2.86765e+06, 89.6563, 137.015, 2.40394,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel22, 524, 10.0852, 360.323, 124.887, 3.33206e+07, 101.528, 139.134, 2.59544,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel22, 682, 9.18875, 419.491, 124.268, 3.34767e+07, 101.588, 138.006, 2.60979,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel22, 748, 4.09149, 325.391, 125.472, 3.38671e+07, 88.7668, 135.905, 2.58845,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel20, 3.61792, 0.627188, 3.59501e-06, 151.47, 71011.8, 84.6441, 102.478, 2.72343,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel20, 0.393433, 0.0712326, 2.94768e-07, 143.155, 7807.16, 103.04, 138.237, 2.08694,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel20, 166.741, 0.084372, 0.0982062, 139.229, 2.86765e+06, 83.1377, 106.661, 2.82899,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel20, 1975, 46.1023, 5766.96, 112.845, 3.33206e+07, 96.0552, 154.758, 3.09798,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel20, 2748, 58.0702, 6714.27, 112.225, 3.34767e+07, 72.8485, 107.963, 3.11845,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel20, 2128, 31.3215, 5207.45, 113.429, 3.38671e+07, 72.6358, 109.167, 3.08803,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel18, 20.8054, 3.06615, 6.09629e-05, 139.176, 71011.8, 98.7604, 166.759, 3.28209,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel18, 1.49194, 0.263597, 4.70817e-06, 131.121, 7807.16, 106.003, 151.247, 2.39998,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel18, 904.709, 0.332315, 1.56755, 127.198, 2.86765e+06, 104.149, 172.893, 3.43663,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel18, 7947, 183.648, 92263.2, 100.804, 3.33206e+07, 116.231, 177.061, 3.84193,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel18, 9732, 294.985, 107355, 100.187, 3.34767e+07, 115.597, 169.396, 3.87347,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel18, 8230, 79.6554, 83361.1, 101.386, 3.38671e+07, 101.687, 166.854, 3.82663,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel16, 59.5242, 9.06512, 0.000972119, 127.149, 71011.8, 83.8634, 133.251, 4.12913,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel16, 5.76099, 1.087, 7.51656e-05, 119.09, 7807.16, 89.3058, 112.207, 2.82351,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel16, 3383.74, 1.7122, 24.8939, 115.19, 2.86765e+06, 84.7434, 140.009, 4.37679,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel16, 30668, 611.352, 1.45534e+06, 88.8246, 3.33206e+07, 100.724, 137.544, 5.05671,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel16, 37508, 1187.05, 1.68124e+06, 88.2386, 3.34767e+07, 101.114, 146.79, 5.11121,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel16, 36116, 335.655, 1.31922e+06, 89.3924, 3.38671e+07, 109.034, 180.693, 5.0303,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel14, 260.399, 36.725, 0.0153785, 115.157, 71011.8, 100.587, 157.667, 5.5666,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel14, 23.5928, 4.41211, 0.00120906, 107.025, 7807.16, 96.4521, 127.672, 3.42854,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel14, 11320.6, 5.19352, 400.607, 103.123, 2.86765e+06, 106.659, 159.962, 6.027,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel14, 130820, 1895.56, 2.01133e+07, 77.4194, 3.33206e+07, 141.629, 237.074, 7.36591,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel14, 172464, 5243.88, 2.27622e+07, 76.9227, 3.34767e+07, 121.936, 233.487, 7.47478,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel14, 220820, 1484.81, 1.84462e+07, 77.9365, 3.38671e+07, 120.917, 229.15, 7.31747,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
