Compressor_field__params, relative_error, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
SZ_dark_matter_density__abs0.06, 0.06, 85.2116, 105.213, 5.70378,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.06, 3.87167e-05, 58.0788, 27.4427, 1.90858,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.06, 0, 79.1671, 202.14, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.06, 0, 80.8737, 201.897, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.06, 0, 81.8068, 202.527, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.08, 0.08, 89.2493, 125.975, 8.30593,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.08, 0.08, 84.8833, 105.835, 6.25669,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.08, 5.02143e-05, 59.1726, 29.4403, 1.97362,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.08, 0, 77.5414, 206.604, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.08, 0, 80.4939, 206.313, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.08, 0, 81.1088, 203.606, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.1, 0.1, 92.8632, 129.25, 9.00199,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.1, 0.1, 87.0878, 110.458, 6.76222,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.1, 8.1407e-05, 60.5198, 29.9379, 2.02567,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.1, 0, 76.7519, 207.403, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.1, 0, 78.6745, 207.791, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.1, 0, 79.5342, 204.734, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.12, 0.12, 94.2426, 140.43, 9.8193,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.12, 0.12, 85.6963, 109.641, 7.27305,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.12, 8.0201e-05, 59.3164, 28.982, 2.06712,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.12, 0, 77.8006, 203.253, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.12, 0, 77.7633, 203.275, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.12, 0, 78.6071, 202.943, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.14, 0.14, 94.4634, 143.993, 10.5862,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.14, 0.14, 85.413, 116.076, 7.83244,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.14, 0.000112597, 59.7654, 30.6259, 2.10518,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.14, 0, 76.3651, 202.012, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.14, 0, 76.2417, 202.397, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.14, 0, 76.5994, 202.384, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.16, 0.16, 96.4982, 159.89, 11.4536,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.16, 0.16, 86.5032, 117.212, 8.42372,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.16, 0.000152293, 60.1591, 31.0516, 2.139,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.16, 0, 74.7428, 202.227, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.16, 0, 75.7487, 202.739, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.16, 0, 76.5007, 202.742, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.18, 0.18, 98.9454, 167.896, 12.3545,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.18, 0.18, 89.1073, 123.668, 8.95933,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.18, 0.000154837, 63.0003, 32.84, 2.1709,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.18, 0, 74.5335, 203.168, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.18, 0, 75.5569, 207.895, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.18, 0, 77.4643, 205.022, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.2, 0.2, 100.222, 166.881, 13.9176,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.2, 0.2, 90.4786, 122.504, 9.55235,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.2, 0.000186285, 63.5803, 32.9511, 2.19752,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.2, 0, 73.3078, 203.476, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.2, 0, 75.5393, 206.779, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.2, 0, 75.1117, 204.817, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
