Compressor_field__params, relative_error, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
SZ_temperature__pw_rel0.02, 0.0199921, 84.7733, 126.401, 0.387227, 82.6389, 116.279, 7.77792,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.02, 0.0199974, 82.0078, 122.749, 0.558454, 57.301, 109.229, 7.34174,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.02, 0.019998, 83.0691, 123.197, 0.404577, 79.0949, 115.703, 7.24248,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.02, 0.0199983, 81.4988, 122.676, 0.412273, 77.6185, 119.925, 6.1314,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.04, 0.039949, 67.105, 108.41, 0.551527, 58.0207, 104.235, 7.55142,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.04, 0.0399881, 80.7434, 119.625, 0.420658, 76.0712, 114.248, 4.11408,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.04, 0.0399496, 86.1092, 127.742, 0.384568, 83.2103, 116.675, 9.89063,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.04, 0.0399502, 84.1351, 123.7, 0.400412, 79.9177, 120.289, 8.97575,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.04, 0.0399501, 85.1772, 123.969, 0.400513, 79.8975, 119.101, 8.86475,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.04, 0.0399501, 82.3776, 123.554, 0.530601, 60.309, 109.266, 7.40231,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.06, 0.0599625, 66.518, 111.347, 0.494914, 64.6577, 103.622, 8.72361,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.06, 0.059976, 80.8595, 115.794, 0.405554, 78.9044, 114.462, 4.46168,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.06, 0.0599618, 87.4582, 128.005, 0.374539, 85.4383, 117.39, 11.5014,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.06, 0.0599627, 84.6793, 124.467, 0.507569, 63.0456, 112.478, 10.1363,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.06, 0.0599626, 85.16, 124.225, 0.395888, 80.831, 119.628, 9.97911,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.06, 0.0599622, 82.2272, 122.723, 0.537492, 59.5358, 110.786, 8.3638,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.08, 0.0799728, 69.7716, 109.761, 0.529823, 60.3975, 104.017, 9.67656,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.08, 0.0799856, 81.102, 123.952, 0.425458, 75.213, 114.622, 4.70628,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.08, 0.0799605, 88.8115, 127.224, 0.372885, 85.8173, 118.378, 12.9731,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.08, 0.0799742, 85.2565, 125.086, 0.502455, 63.6872, 112.031, 11.1007,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.08, 0.0799753, 86.0037, 124.472, 0.399611, 80.0778, 121.193, 10.8951,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.08, 0.0799843, 84.1369, 124.066, 0.40672, 78.6781, 119.271, 9.15033,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.1, 0.0997309, 70.4782, 112.636, 0.499961, 64.005, 103.449, 10.4645,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.1, 0.0999914, 81.1654, 123.762, 0.411711, 77.7245, 113.721, 4.94974,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.1, 0.0997309, 89.1254, 126.989, 0.37324, 85.7356, 119.135, 14.2892,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.1, 0.0997309, 86.6195, 125.122, 0.390484, 81.9495, 121.923, 12.0377,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.1, 0.0997309, 85.5249, 124.966, 0.392675, 81.4923, 121.27, 11.8054,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.1, 0.0997309, 85.3108, 124.357, 0.403932, 79.2214, 120.195, 9.85446,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.12, 0.119828, 68.0707, 113.221, 0.499519, 64.0617, 103.639, 11.1724,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.12, 0.119965, 82.2555, 119.164, 0.410611, 77.9326, 113.411, 5.15715,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.12, 0.119825, 89.1448, 127.662, 0.508162, 62.972, 109.926, 15.0163,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.12, 0.119827, 87.0722, 125.426, 0.394297, 81.157, 122.338, 12.4941,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.12, 0.119829, 85.379, 125.817, 0.534738, 59.8424, 112.106, 12.275,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.12, 0.119828, 85.1847, 124.674, 0.556514, 57.5008, 120.967, 10.3448,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.14, 0.139482, 71.6636, 112.583, 0.524482, 61.0126, 105.897, 11.8586,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.14, 0.139965, 81.7565, 116.097, 0.541057, 59.1435, 103.421, 5.32379,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.14, 0.139501, 89.8838, 128.857, 0.457008, 70.0207, 118.55, 16.218,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.14, 0.139533, 87.0443, 126.214, 0.495426, 64.5909, 121.699, 13.179,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.14, 0.139528, 86.3624, 125.805, 0.392604, 81.5071, 122.106, 13.0339,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.14, 0.139532, 85.2986, 125.109, 0.402989, 79.4066, 120.538, 10.9447,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.16, 0.158982, 68.2466, 113.477, 0.501112, 63.8579, 104.789, 12.4661,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.16, 0.159965, 82.0218, 123.528, 0.420486, 76.1025, 114.499, 5.46225,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.16, 0.159079, 89.4666, 127.573, 0.372761, 85.8459, 118.293, 17.0702,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.16, 0.159728, 86.3586, 126.11, 0.391908, 81.6518, 122.493, 13.9657,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.16, 0.159731, 85.8367, 125.812, 0.393483, 81.325, 121.495, 13.7403,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.16, 0.159723, 84.9954, 124.913, 0.399447, 80.1107, 120.481, 11.4822,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.18, 0.179964, 73.469, 114.252, 0.505563, 63.2957, 104.666, 13.0287,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.18, 0.179977, 81.1119, 124.056, 0.421529, 75.9142, 114.143, 5.59949,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.18, 0.179973, 89.1244, 129.191, 0.39188, 81.6577, 118.665, 18.2477,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.18, 0.179976, 85.9351, 125.96, 0.465738, 68.7082, 121.48, 14.7527,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.18, 0.179978, 85.4645, 125.835, 0.404408, 79.1281, 122.332, 14.5727,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.18, 0.179977, 84.9661, 125.389, 0.408165, 78.3996, 120.859, 12.0312,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.2, 0.199609, 67.5471, 113.894, 0.484261, 66.0801, 103.905, 13.6761,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.2, 0.199927, 82.3965, 123.944, 0.522049, 61.2969, 114.83, 5.76465,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.2, 0.199673, 89.4999, 128.702, 0.389064, 82.2487, 119.024, 18.6591,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.2, 0.199676, 86.1034, 126.012, 0.400203, 79.9594, 119.026, 15.2075,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.2, 0.199674, 85.1167, 126.412, 0.400593, 79.8815, 118.479, 14.9407,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.2, 0.199678, 86.2556, 125.834, 0.410886, 77.8804, 119.66, 12.3313,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.22, 0.219798, 76.9494, 113.942, 0.51772, 61.8095, 104.277, 14.0232,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.22, 0.219862, 82.4006, 124.104, 0.407149, 78.5954, 119.184, 5.92952,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.22, 0.219798, 87.9303, 129.51, 0.396976, 80.6094, 123.901, 19.9359,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.22, 0.219798, 85.414, 126.343, 0.535058, 59.8066, 114.348, 16.2031,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.22, 0.219798, 84.6315, 127.025, 0.51134, 62.5807, 118.748, 16.0644,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.22, 0.219798, 85.3377, 125.762, 0.396374, 80.7317, 121.055, 13.0603,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.24, 0.239717, 65.6522, 113.735, 0.499791, 64.0267, 104.438, 14.4416,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.24, 0.239868, 82.9797, 123.572, 0.396875, 80.6299, 115.096, 6.03907,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.24, 0.239717, 88.6487, 129.003, 0.39295, 81.4353, 120.925, 20.6159,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.24, 0.239717, 85.5709, 125.372, 0.407918, 78.4471, 120.093, 17.2333,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.24, 0.239717, 85.6012, 126.076, 0.400281, 79.9439, 119.178, 17.0995,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.24, 0.239717, 85.4897, 125.696, 0.408497, 78.3359, 119.756, 13.4291,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.25, 0.249691, 66.381, 114.06, 0.496276, 64.4802, 104.084, 14.5418,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.25, 0.249916, 83.0999, 123.836, 0.400436, 79.9129, 114.492, 6.10086,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.25, 0.249698, 88.5969, 129.254, 0.390944, 81.8531, 119.988, 20.3519,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.25, 0.2497, 86.7359, 126.601, 0.400443, 79.9114, 119.845, 16.9429,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.25, 0.2497, 85.4168, 126.579, 0.400977, 79.8051, 119.495, 16.4678,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.25, 0.2497, 85.3106, 125.516, 0.402874, 79.4293, 119.686, 13.4166,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
