Compressor_field__params, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
fpzip_velocity_y__bits28, 52, 1.78814e-06, 14.4025, 138.91, 3.34767e+07, 13.0221, 15.2034, 2.11625,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits28, 30, 1.78814e-06, 11.0435, 140.165, 3.38671e+07, 13.2933, 15.4037, 2.09935,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits26, 0.25, 7.51013e-06, 4.13325e-09, 180.864, 71011.8, 13.3305, 15.5402, 2.19136,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits26, 0.0297852, 7.51013e-06, 6.99972e-10, 169.399, 7807.16, 8.52096, 13.6015, 1.51207,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits26, 15.75, 7.51013e-06, 0.00120709, 158.333, 2.86765e+06, 13.5572, 15.4329, 2.30494,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits26, 126, 7.51013e-06, 210.746, 127.217, 3.33206e+07, 12.3219, 15.7752, 2.44445,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits26, 244, 7.51013e-06, 247.873, 126.553, 3.34767e+07, 13.5409, 15.5849, 2.43902,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits26, 148, 7.51013e-06, 190.024, 127.807, 3.38671e+07, 13.6501, 15.6304, 2.41659,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits24, 1.75, 3.03974e-05, 8.11942e-08, 167.931, 71011.8, 13.8017, 15.8197, 2.53929,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits24, 0.119141, 3.03974e-05, 1.14951e-08, 157.245, 7807.16, 11.3922, 14.625, 1.66996,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits24, 63.5, 3.03974e-05, 0.019568, 146.235, 2.86765e+06, 14.1559, 15.8625, 2.69314,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits24, 510, 3.03974e-05, 3431.48, 115.099, 3.33206e+07, 14.3638, 15.9518, 2.88558,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits24, 852, 3.03974e-05, 4035.92, 114.435, 3.34767e+07, 14.257, 15.8451, 2.87802,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits24, 912, 3.03974e-05, 3094.27, 115.69, 3.38671e+07, 14.3666, 15.7881, 2.84684,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits22, 3.95703, 0.000121936, 1.17068e-06, 156.342, 71011.8, 14.4189, 16.0324, 3.0183,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits22, 0.45752, 0.000121936, 1.77048e-07, 145.369, 7807.16, 12.0558, 14.9189, 1.86455,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits22, 254, 0.000121936, 0.315601, 134.159, 2.86765e+06, 14.1513, 15.59, 3.23797,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits22, 2046, 0.000121936, 55148.2, 103.039, 3.33206e+07, 14.6604, 16.2985, 3.51746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits22, 2292, 0.000121936, 64852.2, 102.376, 3.34767e+07, 14.5026, 16.404, 3.50325,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits22, 2196, 0.000121936, 49717.9, 103.63, 3.38671e+07, 14.5376, 16.0575, 3.46192,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits20, 7.95703, 0.000487924, 1.20446e-05, 146.219, 71011.8, 13.4377, 16.1404, 3.72039,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits20, 1.93262, 0.000487924, 2.85851e-06, 133.288, 7807.16, 12.9091, 14.7699, 2.11055,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits20, 964, 0.000487924, 5.04123, 122.125, 2.86765e+06, 15.1837, 16.3514, 4.05961,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits20, 8190, 0.000487924, 883259, 90.9934, 3.33206e+07, 15.453, 17.0406, 4.50508,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits20, 14580, 0.000487924, 1.03891e+06, 90.3291, 3.34767e+07, 13.1624, 16.232, 4.48134,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits20, 10388, 0.000487924, 796369, 91.5844, 3.38671e+07, 11.2582, 13.1667, 4.41509,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits18, 99.75, 0.0019492, 0.000289814, 132.405, 71011.8, 11.5905, 16.3417, 4.84592,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits18, 7.93262, 0.0019492, 4.83983e-05, 121.002, 7807.16, 13.9743, 15.7324, 2.43152,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits18, 4028, 0.0019492, 80.8233, 110.075, 2.86765e+06, 16.0655, 17.0173, 5.43306,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits18, 32766, 0.0019492, 1.41206e+07, 78.9557, 3.33206e+07, 16.4258, 17.5178, 6.19092,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits18, 63528, 0.0019492, 1.66113e+07, 78.2908, 3.34767e+07, 14.1449, 13.6171, 6.14198,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits18, 50560, 0.0019492, 1.2732e+07, 79.5466, 3.38671e+07, 16.0779, 17.3982, 6.03465,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits16, 355.75, 0.00775182, 0.00404095, 120.962, 71011.8, 14.6949, 16.5476, 6.89631,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits16, 31.1577, 0.00775182, 0.000767579, 108.999, 7807.16, 12.5421, 15.7691, 2.86777,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits16, 16084.5, 0.00775182, 1292.56, 98.036, 2.86765e+06, 15.324, 18.5215, 8.03899,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits16, 131070, 0.00775182, 2.25163e+08, 66.9293, 3.33206e+07, 18.0938, 18.7721, 9.05618,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits16, 260136, 0.00775182, 2.6491e+08, 66.2639, 3.34767e+07, 16.5314, 18.595, 8.94739,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits16, 223380, 0.00775182, 2.0303e+08, 67.52, 3.38671e+07, 14.8218, 18.4909, 8.81879,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits14, 1379.75, 0.0303029, 0.0723068, 108.435, 71011.8, 14.3181, 20.5604, 10.7845,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits14, 127.158, 0.0303029, 0.012708, 96.8091, 7807.16, 14.9125, 16.3053, 3.49446,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits14, 64192, 0.0303029, 20474.1, 86.0385, 2.86765e+06, 18.9229, 20.3688, 12.5733,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits14, 524242, 0.0303029, 3.55164e+09, 54.95, 3.33206e+07, 19.7805, 21.1013, 13.1053,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits14, 524286, 0.0303029, 4.18142e+09, 54.2816, 3.34767e+07, 19.393, 20.7834, 12.9575,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits14, 1.00981e+06, 0.0303029, 3.20474e+09, 55.5376, 3.38671e+07, 19.1312, 20.9087, 12.8088,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
