Compressor_field__params, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
SZ_velocity_z__pw_rel0.02, 610990, 0.019984, 2.14612e+09, 57.279, 3.38671e+07, 68.7148, 118.334, 13.2991,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.04, 998.473, 0.0399462, 0.148783, 105.301, 71011.8, 72.4408, 107.235, 16.1074,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.04, 199.934, 0.0399497, 0.0317298, 92.8352, 7807.16, 68.2786, 108.269, 4.88354,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.04, 93588, 0.0399501, 52820.7, 81.9225, 2.86765e+06, 71.5432, 117.765, 17.3476,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.04, 1.16743e+06, 0.0399473, 9.37979e+09, 50.7323, 3.33206e+07, 69.1673, 119.522, 16.007,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.04, 1.13037e+06, 0.0399483, 1.10674e+10, 50.0544, 3.34767e+07, 68.5844, 119.46, 15.7917,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.04, 1.20947e+06, 0.0399495, 8.43926e+09, 51.3325, 3.38671e+07, 69.1159, 119.501, 15.6144,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.06, 3538.27, 0.0599302, 0.482805, 100.189, 71011.8, 72.6369, 113.605, 17.5247,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.06, 364.609, 0.0599929, 0.069498, 89.4301, 7807.16, 67.7474, 110.465, 5.34185,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.06, 118338, 0.05996, 118912, 78.3983, 2.86765e+06, 72.9405, 119.458, 19.2232,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.06, 1.72334e+06, 0.0599624, 2.09997e+10, 47.2321, 3.33206e+07, 72.1191, 119.748, 17.9932,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.06, 1.7884e+06, 0.0599606, 2.47977e+10, 46.5507, 3.34767e+07, 66.0023, 115.99, 17.8275,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.06, 2.00086e+06, 0.0599614, 1.889e+10, 47.8333, 3.38671e+07, 61.2824, 114.495, 17.4343,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.08, 4099.35, 0.0795351, 0.628023, 99.0469, 71011.8, 73.4567, 111.273, 18.63,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.08, 461.397, 0.0799844, 0.12163, 86.9994, 7807.16, 66.0258, 109.368, 5.73496,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.08, 192951, 0.0799001, 209014, 75.9488, 2.86765e+06, 74.939, 120.096, 21.5994,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.08, 2.42917e+06, 0.0799758, 3.66468e+10, 44.8139, 3.33206e+07, 70.0334, 122.656, 20.1442,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.08, 2.53388e+06, 0.0799668, 4.31109e+10, 44.149, 3.34767e+07, 71.5578, 122.141, 19.9819,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.08, 2.53171e+06, 0.0799702, 3.2921e+10, 45.4208, 3.38671e+07, 71.457, 121.516, 19.3344,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.1, 3386.57, 0.0997308, 1.04964, 96.8162, 71011.8, 67.0929, 114.493, 19.3541,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.1, 597.521, 0.0997906, 0.196012, 84.927, 7807.16, 65.8257, 110.076, 6.05585,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.1, 246483, 0.0997309, 323888, 74.0466, 2.86765e+06, 74.0293, 122.629, 23.8765,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.1, 2.9302e+06, 0.0997308, 5.65116e+10, 42.9329, 3.33206e+07, 72.7914, 122.72, 21.5202,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.1, 3.08831e+06, 0.0997308, 6.66541e+10, 42.2566, 3.34767e+07, 70.1473, 121.783, 21.4278,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.1, 3.44238e+06, 0.0997309, 5.08483e+10, 43.5328, 3.38671e+07, 70.5149, 120.323, 20.6804,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.2, 12087, 0.197475, 5.57574, 89.5636, 71011.8, 72.1671, 112.891, 22.3196,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.2, 1157.79, 0.199767, 0.740165, 79.1566, 7807.16, 66.6668, 102.294, 7.28534,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.2, 459785, 0.198392, 1.24617e+06, 68.1947, 2.86765e+06, 75.6326, 124.082, 32.2101,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.2, 5.97757e+06, 0.199677, 2.13667e+11, 37.1569, 3.33206e+07, 69.2893, 114.702, 26.5694,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.2, 6.07769e+06, 0.199668, 2.54417e+11, 36.4394, 3.34767e+07, 71.954, 123.09, 26.4234,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.2, 6.08711e+06, 0.199668, 1.94515e+11, 37.706, 3.38671e+07, 70.6461, 121.288, 25.5382,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.4, 19181.4, 0.398855, 22.2034, 83.5624, 71011.8, 70.5532, 115.243, 31.1977,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.4, 2600.89, 0.399605, 3.36721, 72.5772, 7807.16, 63.8778, 111.456, 8.85637,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.4, 990566, 0.398844, 5.71542e+06, 61.58, 2.86765e+06, 68.7931, 124.057, 52.8432,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.4, 1.21146e+07, 0.398978, 1.00343e+12, 30.4394, 3.33206e+07, 76.262, 125.051, 46.6499,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.4, 1.19991e+07, 0.398975, 1.15468e+12, 29.8702, 3.34767e+07, 65.8916, 119.913, 45.8387,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.4, 1.33663e+07, 0.398981, 8.88012e+11, 31.1114, 3.38671e+07, 72.8574, 123.672, 44.6454,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.6, 35575, 0.598091, 69.5385, 78.6044, 71011.8, 70.2197, 116.732, 31.8612,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.6, 4328.68, 0.599829, 9.5459, 68.0517, 7807.16, 70.8287, 111.583, 9.88057,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.6, 1.19876e+06, 0.598133, 1.69863e+07, 56.8495, 2.86765e+06, 76.891, 125.496, 51.997,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.6, 1.78967e+07, 0.598132, 2.96619e+12, 25.7323, 3.33206e+07, 76.3809, 124.35, 47.1606,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.6, 1.83309e+07, 0.599465, 3.48541e+12, 25.0723, 3.34767e+07, 69.2654, 120.218, 45.4708,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.6, 1.868e+07, 0.598132, 2.6641e+12, 26.3401, 3.38671e+07, 67.5037, 117.689, 42.7851,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.8, 48081.9, 0.8, 173.971, 74.6218, 71011.8, 72.3393, 115.352, 43.6628,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.8, 5741.6, 0.8, 28.307, 63.3309, 7807.16, 64.9458, 104.882, 10.6008,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.8, 1.85477e+06, 1, 4.87397e+07, 52.2717, 2.86765e+06, 79.776, 125.676, 77.0598,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.8, 2.5422e+07, 1, 8.44526e+12, 21.1881, 3.33206e+07, 73.1254, 121.586, 68.1081,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.8, 2.55609e+07, 1, 9.99395e+12, 20.4975, 3.34767e+07, 72.9749, 124.505, 66.0969,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.8, 2.61427e+07, 1, 7.58853e+12, 21.794, 3.38671e+07, 75.5316, 123.644, 63.3718,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel1, 26209.2, 0.5, 42.3999, 80.753, 71011.8, 49.1238, 119.904, 22.2681,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel1, 3711.16, 0.5, 6.78258, 69.5359, 7807.16, 45.1602, 110.924, 10.0303,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel1, 1.04764e+06, 0.5, 1.18821e+07, 58.4016, 2.86765e+06, 49.7093, 124.348, 28.3002,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel1, 1.65434e+07, 0.5, 2.06132e+12, 27.3128, 3.33206e+07, 45.9675, 102.679, 23.4336,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel1, 1.67649e+07, 0.5, 2.41758e+12, 26.661, 3.34767e+07, 37.0999, 93.2839, 22.8279,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel1, 1.63971e+07, 0.5, 1.8418e+12, 27.9431, 3.38671e+07, 44.8843, 118.148, 23.6658,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
